analysis_id,result_id,contrast_id,hypothesis,dandiset_version,code_version,seed,analysis_tier,inclusion_definition,missingness_stratum,estimate,scale,ci_low,ci_high,confidence_level,ci_method,test_statistic,test_method,p_value,adjusted_p_value,adjustment_method,multiplicity_family,sidedness,n_mice,n_sessions,n_probes,n_units,n_trials,aggregation,bootstrap_id,model_formula,cv_grouping,status,reason
figure_1_behavior,reversible_gating_mouse_mean,0.5*engaged_1-no_reward_late+0.5*engaged_2_early,Summarize the symmetric contrast between mean reward-available change-response probability and late no-reward response probability.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,1051,exploratory,"technically valid sessions with complete estimable E1, late-NR, and early-E2 primary blocks; no behavioral-threshold selection",complete technically valid behavior,0.4623816982871385,response-probability difference,0.3861517101769423,0.5397000207886343,0.95,percentile bootstrap over mice,,,,,,,,27,99,,,12507,equal-session mean within mouse; equal-mouse mean,seed=1051;n_resamples=10000,,,pass,
figure_1_behavior,withdrawal_suppression_mouse_mean,engaged_1-no_reward_late,Change-response probability decreases after reward withdrawal.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,1051,exploratory,"technically valid sessions with complete estimable E1, late-NR, and early-E2 primary blocks; no behavioral-threshold selection",complete technically valid behavior,0.5145079488883396,response-probability difference,0.4443424434488278,0.5841573986472703,0.95,percentile bootstrap over mice,0.5145079488883396,monte_carlo_two_sided_sign_flip;n_permutations=100000,9.99990000099999e-6,0.00001999980000199998,holm,figure_1_primary_behavior,two-sided,27,99,,,7870,equal-session mean within mouse; equal-mouse mean,seed=1051;n_resamples=10000,,,pass,
figure_1_behavior,restoration_recovery_mouse_mean,engaged_2_early-no_reward_late,Change-response probability increases after reward restoration.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,1051,exploratory,"technically valid sessions with complete estimable E1, late-NR, and early-E2 primary blocks; no behavioral-threshold selection",complete technically valid behavior,0.41025544768593736,response-probability difference,0.32305450880020753,0.5017104325534733,0.95,percentile bootstrap over mice,0.41025544768593736,monte_carlo_two_sided_sign_flip;n_permutations=100000,9.99990000099999e-6,0.00001999980000199998,holm,figure_1_primary_behavior,two-sided,27,99,,,8550,equal-session mean within mouse; equal-mouse mean,seed=1051;n_resamples=10000,,,pass,
figure_1_behavior,engaged_response_drift_mouse_mean,engaged_2_early-engaged_1,Quantify monotonic response drift between reward-available blocks.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,1051,exploratory,"technically valid sessions with complete estimable E1, late-NR, and early-E2 primary blocks; no behavioral-threshold selection",complete technically valid behavior,-0.10425250120240233,response-probability difference,-0.14891634080456448,-0.0636583003136657,0.95,percentile bootstrap over mice,0.10425250120240233,monte_carlo_two_sided_sign_flip;n_permutations=100000,0.00001999980000199998,0.00001999980000199998,holm,figure_1_response_drift_sensitivity,two-sided,27,99,,,8594,equal-session mean within mouse; equal-mouse mean,seed=1051;n_resamples=10000,,,pass,
figure_1_behavior,reversible_specificity_gating_mouse_mean,0.5*engaged_1_specificity-no_reward_late_specificity+0.5*engaged_2_early_specificity,Summarize reversible change-versus-catch response specificity.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,1051,exploratory,"technically valid sessions with complete estimable E1, late-NR, and early-E2 change and catch response probabilities; no behavioral-threshold selection",complete technically valid behavior,0.40168462164374896,change-minus-catch probability difference,0.3259002755503367,0.4784461833190048,0.95,percentile bootstrap over mice,,,,,,,,27,99,,,18751,equal-session mean within mouse; equal-mouse mean,seed=1051;n_resamples=10000,,,pass,
figure_1_behavior,withdrawal_specificity_suppression_mouse_mean,engaged_1_specificity-no_reward_late_specificity,Change-versus-catch response specificity decreases after reward withdrawal.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,1051,exploratory,"technically valid sessions with complete estimable E1, late-NR, and early-E2 change and catch response probabilities; no behavioral-threshold selection",complete technically valid behavior,0.44091854041142364,change-minus-catch probability difference,0.3692022619988359,0.5118113454482348,0.95,percentile bootstrap over mice,0.44091854041142364,monte_carlo_two_sided_sign_flip;n_permutations=100000,9.99990000099999e-6,0.00001999980000199998,holm,figure_1_specificity_behavior,two-sided,27,99,,,11821,equal-session mean within mouse; equal-mouse mean,seed=1051;n_resamples=10000,,,pass,
figure_1_behavior,restoration_specificity_recovery_mouse_mean,engaged_2_early_specificity-no_reward_late_specificity,Change-versus-catch response specificity increases after reward restoration.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,1051,exploratory,"technically valid sessions with complete estimable E1, late-NR, and early-E2 change and catch response probabilities; no behavioral-threshold selection",complete technically valid behavior,0.3624507028760742,change-minus-catch probability difference,0.27877175469444665,0.44872478989337516,0.95,percentile bootstrap over mice,0.3624507028760742,monte_carlo_two_sided_sign_flip;n_permutations=100000,9.99990000099999e-6,0.00001999980000199998,holm,figure_1_specificity_behavior,two-sided,27,99,,,12760,equal-session mean within mouse; equal-mouse mean,seed=1051;n_resamples=10000,,,pass,
figure_1_behavior,engaged_specificity_drift_mouse_mean,engaged_2_early_specificity-engaged_1_specificity,Quantify specificity drift between reward-available blocks.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,1051,exploratory,"technically valid sessions with complete estimable E1, late-NR, and early-E2 change and catch response probabilities; no behavioral-threshold selection",complete technically valid behavior,-0.07846783753534935,change-minus-catch probability difference,-0.1160727485481603,-0.04348605197377991,0.95,percentile bootstrap over mice,0.07846783753534935,monte_carlo_two_sided_sign_flip;n_permutations=100000,0.00002999970000299997,0.00002999970000299997,holm,figure_1_specificity_drift_sensitivity,two-sided,27,99,,,12921,equal-session mean within mouse; equal-mouse mean,seed=1051;n_resamples=10000,,,pass,
figure_1_behavior,engaged_1_response_probability_mouse_mean,engaged_1_response_probability,Describe mouse-level change-response probability during engaged_1.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,1051,exploratory,all technically valid sessions with an estimable block metric; no behavioral-threshold selection,complete technically valid behavior,0.6655418010820661,change-response probability,0.5966329346622452,0.7326134645525872,0.95,percentile bootstrap over mice,,,,,,,,27,99,,,3957,equal-session mean within mouse; equal-mouse mean,seed=1051;n_resamples=10000,,,pass,
figure_1_behavior,engaged_1_false_alarm_probability_mouse_mean,engaged_1_false_alarm_probability,Describe mouse-level catch-response probability during engaged_1.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,1051,exploratory,all technically valid sessions with an estimable block metric; no behavioral-threshold selection,complete technically valid behavior,0.14338853830032827,catch-response probability,0.10536814372755703,0.1894041996279068,0.95,percentile bootstrap over mice,,,,,,,,27,99,,,2034,equal-session mean within mouse; equal-mouse mean,seed=1051;n_resamples=10000,,,pass,
